2015-08-28 18:14:33,647 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:33,654 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2015-08-28 18:14:33,655 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:33,660 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Centralizador\Centralizador-Web\src\test\resources
2015-08-28 18:14:34,616 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:34,622 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-08-28 18:14:34,624 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:34,628 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\JAVIER\Dropbox\ANDES\ECOS\TercerSemestre\Proyecto\UBox\Operador\UBox-Persistencia\src\test\resources
2015-08-28 18:14:34,704 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-08-28 18:14:34,709 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2015-08-28 18:14:34,711 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
